image_path,diameter
dataset/1k_images/host_data/training_data/data/final_render_130_y7.97_z24.65_pupil_diameter_5.72mm.png,5.72
dataset/1k_images/host_data/training_data/data/final_render_131_y13.12_z-16.62_pupil_diameter_1.52mm.png,1.52
dataset/1k_images/host_data/training_data/data/final_render_132_y2.89_z-17.81_pupil_diameter_5.47mm.png,5.47
dataset/1k_images/host_data/training_data/data/final_render_133_y-10.34_z27.39_pupil_diameter_4.91mm.png,4.91
dataset/1k_images/host_data/training_data/data/final_render_134_y14.22_z11.67_pupil_diameter_4.41mm.png,4.41
dataset/1k_images/host_data/training_data/data/final_render_135_y-21.95_z-28.14_pupil_diameter_1.89mm.png,1.89
dataset/1k_images/host_data/training_data/data/final_render_136_y1.69_z-26.45_pupil_diameter_7.83mm.png,7.83
dataset/1k_images/host_data/training_data/data/final_render_137_y-1.62_z27.17_pupil_diameter_2.93mm.png,2.93
dataset/1k_images/host_data/training_data/data/final_render_138_y15.65_z-8.11_pupil_diameter_4.37mm.png,4.37
dataset/1k_images/host_data/training_data/data/final_render_139_y-3.08_z-2.80_pupil_diameter_6.96mm.png,6.96
dataset/1k_images/host_data/training_data/data/final_render_13_y26.53_z14.91_pupil_diameter_7.12mm.png,7.12
dataset/1k_images/host_data/training_data/data/final_render_140_y-27.60_z4.49_pupil_diameter_3.56mm.png,3.56
dataset/1k_images/host_data/training_data/data/final_render_141_y-8.71_z-28.38_pupil_diameter_6.01mm.png,6.01
dataset/1k_images/host_data/training_data/data/final_render_142_y2.91_z3.30_pupil_diameter_2.31mm.png,2.31
dataset/1k_images/host_data/training_data/data/final_render_143_y21.51_z0.17_pupil_diameter_5.34mm.png,5.34
dataset/1k_images/host_data/training_data/data/final_render_144_y16.04_z-7.16_pupil_diameter_5.11mm.png,5.11
dataset/1k_images/host_data/training_data/data/final_render_145_y-17.76_z1.93_pupil_diameter_2.50mm.png,2.50
dataset/1k_images/host_data/training_data/data/final_render_146_y2.35_z-22.82_pupil_diameter_1.66mm.png,1.66
dataset/1k_images/host_data/training_data/data/final_render_147_y-10.66_z4.36_pupil_diameter_2.94mm.png,2.94
dataset/1k_images/host_data/training_data/data/final_render_148_y-19.13_z8.94_pupil_diameter_7.46mm.png,7.46
dataset/1k_images/host_data/training_data/data/final_render_149_y15.33_z-13.64_pupil_diameter_5.20mm.png,5.20
dataset/1k_images/host_data/training_data/data/final_render_14_y26.93_z-12.75_pupil_diameter_4.92mm.png,4.92
dataset/1k_images/host_data/training_data/data/final_render_150_y28.96_z-29.96_pupil_diameter_6.31mm.png,6.31
dataset/1k_images/host_data/training_data/data/final_render_151_y-13.37_z27.21_pupil_diameter_3.91mm.png,3.91
dataset/1k_images/host_data/training_data/data/final_render_152_y10.31_z26.94_pupil_diameter_5.06mm.png,5.06
dataset/1k_images/host_data/training_data/data/final_render_153_y-19.94_z-6.34_pupil_diameter_2.68mm.png,2.68
dataset/1k_images/host_data/training_data/data/final_render_154_y-16.87_z-18.31_pupil_diameter_6.27mm.png,6.27
dataset/1k_images/host_data/training_data/data/final_render_155_y20.07_z-26.67_pupil_diameter_4.60mm.png,4.60
dataset/1k_images/host_data/training_data/data/final_render_156_y-24.39_z14.07_pupil_diameter_5.84mm.png,5.84
dataset/1k_images/host_data/training_data/data/final_render_157_y27.83_z-25.78_pupil_diameter_7.46mm.png,7.46
dataset/1k_images/host_data/training_data/data/final_render_158_y-20.53_z-18.29_pupil_diameter_5.60mm.png,5.60
dataset/1k_images/host_data/training_data/data/final_render_159_y-27.55_z-18.34_pupil_diameter_6.12mm.png,6.12
dataset/1k_images/host_data/training_data/data/final_render_15_y26.72_z21.38_pupil_diameter_1.75mm.png,1.75
dataset/1k_images/host_data/training_data/data/final_render_160_y26.30_z-23.29_pupil_diameter_5.51mm.png,5.51
dataset/1k_images/host_data/training_data/data/final_render_161_y14.71_z17.34_pupil_diameter_3.28mm.png,3.28
dataset/1k_images/host_data/training_data/data/final_render_162_y22.23_z-13.04_pupil_diameter_1.30mm.png,1.30
dataset/1k_images/host_data/training_data/data/final_render_163_y8.55_z0.25_pupil_diameter_3.67mm.png,3.67
dataset/1k_images/host_data/training_data/data/final_render_164_y-12.21_z26.91_pupil_diameter_6.20mm.png,6.20
dataset/1k_images/host_data/training_data/data/final_render_165_y7.84_z-3.36_pupil_diameter_7.60mm.png,7.60
dataset/1k_images/host_data/training_data/data/final_render_166_y14.53_z-9.99_pupil_diameter_3.46mm.png,3.46
dataset/1k_images/host_data/training_data/data/final_render_167_y13.49_z17.24_pupil_diameter_5.94mm.png,5.94
dataset/1k_images/host_data/training_data/data/final_render_168_y3.64_z-19.93_pupil_diameter_7.16mm.png,7.16
dataset/1k_images/host_data/training_data/data/final_render_169_y19.77_z-27.65_pupil_diameter_1.79mm.png,1.79
dataset/1k_images/host_data/training_data/data/final_render_16_y-3.00_z-0.45_pupil_diameter_5.55mm.png,5.55
dataset/1k_images/host_data/training_data/data/final_render_170_y-4.19_z24.52_pupil_diameter_1.56mm.png,1.56
dataset/1k_images/host_data/training_data/data/final_render_171_y6.34_z-23.39_pupil_diameter_1.73mm.png,1.73
dataset/1k_images/host_data/training_data/data/final_render_172_y7.81_z-2.39_pupil_diameter_2.96mm.png,2.96
dataset/1k_images/host_data/training_data/data/final_render_173_y-10.66_z-6.22_pupil_diameter_4.28mm.png,4.28
dataset/1k_images/host_data/training_data/data/final_render_174_y-25.71_z25.90_pupil_diameter_6.74mm.png,6.74
dataset/1k_images/host_data/training_data/data/final_render_175_y24.96_z28.67_pupil_diameter_1.72mm.png,1.72
dataset/1k_images/host_data/training_data/data/final_render_176_y-14.40_z-18.71_pupil_diameter_7.90mm.png,7.90
dataset/1k_images/host_data/training_data/data/final_render_177_y24.78_z-5.16_pupil_diameter_3.50mm.png,3.50
dataset/1k_images/host_data/training_data/data/final_render_178_y-19.17_z20.92_pupil_diameter_3.39mm.png,3.39
dataset/1k_images/host_data/training_data/data/final_render_179_y0.42_z22.82_pupil_diameter_2.49mm.png,2.49
dataset/1k_images/host_data/training_data/data/final_render_17_y22.17_z-25.76_pupil_diameter_1.09mm.png,1.09
dataset/1k_images/host_data/training_data/data/final_render_180_y-9.04_z23.47_pupil_diameter_7.74mm.png,7.74
dataset/1k_images/host_data/training_data/data/final_render_181_y-4.73_z-5.70_pupil_diameter_2.71mm.png,2.71
dataset/1k_images/host_data/training_data/data/final_render_182_y8.78_z-26.68_pupil_diameter_3.24mm.png,3.24
dataset/1k_images/host_data/training_data/data/final_render_183_y-21.92_z-5.82_pupil_diameter_4.97mm.png,4.97
dataset/1k_images/host_data/training_data/data/final_render_184_y-15.08_z11.87_pupil_diameter_7.61mm.png,7.61
dataset/1k_images/host_data/training_data/data/final_render_185_y-7.74_z4.57_pupil_diameter_7.93mm.png,7.93
dataset/1k_images/host_data/training_data/data/final_render_186_y22.74_z-9.25_pupil_diameter_3.36mm.png,3.36
dataset/1k_images/host_data/training_data/data/final_render_187_y27.62_z-26.11_pupil_diameter_3.09mm.png,3.09
dataset/1k_images/host_data/training_data/data/final_render_188_y3.10_z-6.79_pupil_diameter_4.70mm.png,4.70
dataset/1k_images/host_data/training_data/data/final_render_189_y28.93_z-12.00_pupil_diameter_5.01mm.png,5.01
dataset/1k_images/host_data/training_data/data/final_render_18_y-29.83_z-22.87_pupil_diameter_5.38mm.png,5.38
dataset/1k_images/host_data/training_data/data/final_render_190_y-1.94_z-29.73_pupil_diameter_7.48mm.png,7.48
dataset/1k_images/host_data/training_data/data/final_render_191_y-1.93_z11.22_pupil_diameter_6.90mm.png,6.90
dataset/1k_images/host_data/training_data/data/final_render_192_y-6.48_z-26.38_pupil_diameter_7.48mm.png,7.48
dataset/1k_images/host_data/training_data/data/final_render_193_y-4.28_z11.57_pupil_diameter_1.68mm.png,1.68
dataset/1k_images/host_data/training_data/data/final_render_194_y28.07_z-16.15_pupil_diameter_7.69mm.png,7.69
dataset/1k_images/host_data/training_data/data/final_render_195_y22.76_z-27.28_pupil_diameter_2.46mm.png,2.46
dataset/1k_images/host_data/training_data/data/final_render_196_y-1.78_z27.29_pupil_diameter_1.72mm.png,1.72
dataset/1k_images/host_data/training_data/data/final_render_197_y-12.12_z2.08_pupil_diameter_4.20mm.png,4.20
dataset/1k_images/host_data/training_data/data/final_render_198_y19.19_z26.98_pupil_diameter_5.69mm.png,5.69
dataset/1k_images/host_data/training_data/data/final_render_199_y9.99_z8.83_pupil_diameter_1.86mm.png,1.86
dataset/1k_images/host_data/training_data/data/final_render_19_y13.64_z2.24_pupil_diameter_2.08mm.png,2.08
dataset/1k_images/host_data/training_data/data/final_render_1_y-24.68_z14.40_pupil_diameter_5.18mm.png,5.18
dataset/1k_images/host_data/training_data/data/final_render_200_y4.95_z-4.43_pupil_diameter_1.89mm.png,1.89
dataset/1k_images/host_data/training_data/data/final_render_201_y-5.15_z3.03_pupil_diameter_5.25mm.png,5.25
dataset/1k_images/host_data/training_data/data/final_render_202_y-7.93_z-27.32_pupil_diameter_5.74mm.png,5.74
dataset/1k_images/host_data/training_data/data/final_render_203_y-0.15_z-22.14_pupil_diameter_3.92mm.png,3.92
dataset/1k_images/host_data/training_data/data/final_render_204_y-9.02_z-7.16_pupil_diameter_4.39mm.png,4.39
dataset/1k_images/host_data/training_data/data/final_render_205_y-20.55_z24.79_pupil_diameter_5.53mm.png,5.53
dataset/1k_images/host_data/training_data/data/final_render_206_y25.38_z0.10_pupil_diameter_2.60mm.png,2.60
dataset/1k_images/host_data/training_data/data/final_render_207_y14.14_z-18.03_pupil_diameter_2.46mm.png,2.46
dataset/1k_images/host_data/training_data/data/final_render_208_y9.02_z4.53_pupil_diameter_1.62mm.png,1.62
dataset/1k_images/host_data/training_data/data/final_render_209_y26.45_z-0.71_pupil_diameter_4.57mm.png,4.57
dataset/1k_images/host_data/training_data/data/final_render_20_y20.31_z-17.42_pupil_diameter_6.98mm.png,6.98
dataset/1k_images/host_data/training_data/data/final_render_210_y-12.26_z15.61_pupil_diameter_3.78mm.png,3.78
dataset/1k_images/host_data/training_data/data/final_render_211_y-16.94_z-23.10_pupil_diameter_4.02mm.png,4.02
dataset/1k_images/host_data/training_data/data/final_render_212_y-28.46_z-6.20_pupil_diameter_2.09mm.png,2.09
dataset/1k_images/host_data/training_data/data/final_render_213_y26.88_z-3.31_pupil_diameter_7.19mm.png,7.19
dataset/1k_images/host_data/training_data/data/final_render_214_y12.91_z-16.22_pupil_diameter_3.64mm.png,3.64
dataset/1k_images/host_data/training_data/data/final_render_215_y-4.50_z-19.54_pupil_diameter_6.16mm.png,6.16
dataset/1k_images/host_data/training_data/data/final_render_216_y-19.73_z15.43_pupil_diameter_7.08mm.png,7.08
dataset/1k_images/host_data/training_data/data/final_render_217_y-8.05_z-17.34_pupil_diameter_2.91mm.png,2.91
dataset/1k_images/host_data/training_data/data/final_render_218_y9.51_z25.58_pupil_diameter_3.76mm.png,3.76
dataset/1k_images/host_data/training_data/data/final_render_219_y-16.37_z3.23_pupil_diameter_3.89mm.png,3.89
dataset/1k_images/host_data/training_data/data/final_render_21_y16.10_z14.95_pupil_diameter_6.44mm.png,6.44
dataset/1k_images/host_data/training_data/data/final_render_220_y5.61_z-21.38_pupil_diameter_2.54mm.png,2.54
dataset/1k_images/host_data/training_data/data/final_render_221_y-0.71_z-7.43_pupil_diameter_3.08mm.png,3.08
dataset/1k_images/host_data/training_data/data/final_render_222_y20.59_z-11.43_pupil_diameter_4.76mm.png,4.76
dataset/1k_images/host_data/training_data/data/final_render_223_y7.76_z-18.47_pupil_diameter_4.44mm.png,4.44
dataset/1k_images/host_data/training_data/data/final_render_224_y-26.82_z24.05_pupil_diameter_1.52mm.png,1.52
dataset/1k_images/host_data/training_data/data/final_render_225_y23.89_z-16.38_pupil_diameter_7.31mm.png,7.31
dataset/1k_images/host_data/training_data/data/final_render_226_y6.28_z-22.37_pupil_diameter_7.99mm.png,7.99
dataset/1k_images/host_data/training_data/data/final_render_227_y14.72_z22.38_pupil_diameter_7.07mm.png,7.07
dataset/1k_images/host_data/training_data/data/final_render_228_y19.44_z20.02_pupil_diameter_6.50mm.png,6.50
dataset/1k_images/host_data/training_data/data/final_render_229_y29.67_z26.31_pupil_diameter_1.86mm.png,1.86
dataset/1k_images/host_data/training_data/data/final_render_22_y28.01_z9.16_pupil_diameter_3.21mm.png,3.21
dataset/1k_images/host_data/training_data/data/final_render_230_y26.10_z27.83_pupil_diameter_2.40mm.png,2.40
dataset/1k_images/host_data/training_data/data/final_render_231_y17.42_z-11.21_pupil_diameter_4.19mm.png,4.19
dataset/1k_images/host_data/training_data/data/final_render_232_y18.11_z29.95_pupil_diameter_5.46mm.png,5.46
dataset/1k_images/host_data/training_data/data/final_render_233_y28.33_z29.76_pupil_diameter_2.82mm.png,2.82
dataset/1k_images/host_data/training_data/data/final_render_234_y-10.38_z-3.24_pupil_diameter_1.85mm.png,1.85
dataset/1k_images/host_data/training_data/data/final_render_235_y13.41_z24.72_pupil_diameter_3.91mm.png,3.91
dataset/1k_images/host_data/training_data/data/final_render_236_y-27.42_z-24.34_pupil_diameter_3.31mm.png,3.31
dataset/1k_images/host_data/training_data/data/final_render_237_y14.43_z-22.92_pupil_diameter_5.50mm.png,5.50
dataset/1k_images/host_data/training_data/data/final_render_238_y25.94_z-5.09_pupil_diameter_3.63mm.png,3.63
dataset/1k_images/host_data/training_data/data/final_render_239_y-9.02_z29.71_pupil_diameter_1.50mm.png,1.50
dataset/1k_images/host_data/training_data/data/final_render_23_y-15.84_z23.60_pupil_diameter_5.20mm.png,5.20
dataset/1k_images/host_data/training_data/data/final_render_240_y-15.44_z18.65_pupil_diameter_6.81mm.png,6.81
dataset/1k_images/host_data/training_data/data/final_render_241_y-8.07_z-23.04_pupil_diameter_6.55mm.png,6.55
dataset/1k_images/host_data/training_data/data/final_render_242_y-19.20_z-18.11_pupil_diameter_2.76mm.png,2.76
dataset/1k_images/host_data/training_data/data/final_render_243_y29.13_z21.57_pupil_diameter_6.16mm.png,6.16
dataset/1k_images/host_data/training_data/data/final_render_244_y-24.70_z-6.46_pupil_diameter_7.39mm.png,7.39
dataset/1k_images/host_data/training_data/data/final_render_245_y-21.67_z-20.08_pupil_diameter_7.19mm.png,7.19
dataset/1k_images/host_data/training_data/data/final_render_246_y16.42_z1.38_pupil_diameter_1.97mm.png,1.97
dataset/1k_images/host_data/training_data/data/final_render_247_y14.52_z13.68_pupil_diameter_6.83mm.png,6.83
dataset/1k_images/host_data/training_data/data/final_render_248_y-6.39_z21.59_pupil_diameter_4.23mm.png,4.23
dataset/1k_images/host_data/training_data/data/final_render_249_y-23.30_z9.70_pupil_diameter_5.20mm.png,5.20
dataset/1k_images/host_data/training_data/data/final_render_24_y11.03_z19.31_pupil_diameter_6.45mm.png,6.45
dataset/1k_images/host_data/training_data/data/final_render_250_y-11.28_z26.59_pupil_diameter_7.61mm.png,7.61
dataset/1k_images/host_data/training_data/data/final_render_251_y-14.27_z24.38_pupil_diameter_3.89mm.png,3.89
dataset/1k_images/host_data/training_data/data/final_render_252_y-7.31_z6.85_pupil_diameter_1.65mm.png,1.65
dataset/1k_images/host_data/training_data/data/final_render_253_y3.64_z-19.87_pupil_diameter_4.46mm.png,4.46
dataset/1k_images/host_data/training_data/data/final_render_254_y-4.18_z8.85_pupil_diameter_7.92mm.png,7.92
dataset/1k_images/host_data/training_data/data/final_render_255_y8.83_z-23.03_pupil_diameter_6.05mm.png,6.05
dataset/1k_images/host_data/training_data/data/final_render_256_y-10.75_z-21.32_pupil_diameter_4.18mm.png,4.18
dataset/1k_images/host_data/training_data/data/final_render_257_y-23.71_z-21.34_pupil_diameter_1.48mm.png,1.48
dataset/1k_images/host_data/training_data/data/final_render_258_y21.49_z-25.83_pupil_diameter_2.15mm.png,2.15
dataset/1k_images/host_data/training_data/data/final_render_259_y19.74_z-22.21_pupil_diameter_6.14mm.png,6.14
dataset/1k_images/host_data/training_data/data/final_render_25_y8.64_z2.46_pupil_diameter_4.35mm.png,4.35
dataset/1k_images/host_data/training_data/data/final_render_260_y-3.36_z1.34_pupil_diameter_7.73mm.png,7.73
dataset/1k_images/host_data/training_data/data/final_render_261_y1.85_z-1.38_pupil_diameter_6.10mm.png,6.10
dataset/1k_images/host_data/training_data/data/final_render_262_y-17.24_z13.11_pupil_diameter_5.02mm.png,5.02
dataset/1k_images/host_data/training_data/data/final_render_263_y27.76_z17.94_pupil_diameter_2.09mm.png,2.09
dataset/1k_images/host_data/training_data/data/final_render_264_y1.31_z14.60_pupil_diameter_8.00mm.png,8.00
dataset/1k_images/host_data/training_data/data/final_render_265_y16.05_z3.55_pupil_diameter_3.93mm.png,3.93
dataset/1k_images/host_data/training_data/data/final_render_266_y-12.31_z21.22_pupil_diameter_2.51mm.png,2.51
dataset/1k_images/host_data/training_data/data/final_render_267_y21.13_z-4.23_pupil_diameter_3.95mm.png,3.95
dataset/1k_images/host_data/training_data/data/final_render_268_y-26.05_z-18.36_pupil_diameter_4.21mm.png,4.21
dataset/1k_images/host_data/training_data/data/final_render_269_y-1.61_z15.50_pupil_diameter_2.51mm.png,2.51
dataset/1k_images/host_data/training_data/data/final_render_26_y-2.29_z9.92_pupil_diameter_3.25mm.png,3.25
dataset/1k_images/host_data/training_data/data/final_render_270_y-15.87_z17.73_pupil_diameter_5.57mm.png,5.57
dataset/1k_images/host_data/training_data/data/final_render_271_y7.35_z28.74_pupil_diameter_3.03mm.png,3.03
dataset/1k_images/host_data/training_data/data/final_render_272_y-26.03_z0.92_pupil_diameter_6.38mm.png,6.38
dataset/1k_images/host_data/training_data/data/final_render_273_y-19.06_z3.11_pupil_diameter_5.02mm.png,5.02
dataset/1k_images/host_data/training_data/data/final_render_274_y13.20_z24.91_pupil_diameter_6.17mm.png,6.17
dataset/1k_images/host_data/training_data/data/final_render_275_y22.90_z-0.45_pupil_diameter_5.56mm.png,5.56
dataset/1k_images/host_data/training_data/data/final_render_276_y-3.93_z-26.14_pupil_diameter_7.48mm.png,7.48
dataset/1k_images/host_data/training_data/data/final_render_277_y7.41_z22.82_pupil_diameter_4.48mm.png,4.48
dataset/1k_images/host_data/training_data/data/final_render_278_y-12.82_z10.96_pupil_diameter_7.08mm.png,7.08
dataset/1k_images/host_data/training_data/data/final_render_279_y-3.07_z28.64_pupil_diameter_4.50mm.png,4.50
dataset/1k_images/host_data/training_data/data/final_render_27_y-19.99_z-13.49_pupil_diameter_2.36mm.png,2.36
dataset/1k_images/host_data/training_data/data/final_render_280_y0.36_z-15.22_pupil_diameter_4.13mm.png,4.13
dataset/1k_images/host_data/training_data/data/final_render_281_y26.75_z17.42_pupil_diameter_5.77mm.png,5.77
dataset/1k_images/host_data/training_data/data/final_render_282_y15.64_z28.65_pupil_diameter_3.49mm.png,3.49
dataset/1k_images/host_data/training_data/data/final_render_283_y-1.61_z-5.48_pupil_diameter_7.69mm.png,7.69
dataset/1k_images/host_data/training_data/data/final_render_284_y15.11_z-21.66_pupil_diameter_6.75mm.png,6.75
dataset/1k_images/host_data/training_data/data/final_render_285_y20.66_z9.98_pupil_diameter_3.24mm.png,3.24
dataset/1k_images/host_data/training_data/data/final_render_286_y19.40_z-12.16_pupil_diameter_2.80mm.png,2.80
dataset/1k_images/host_data/training_data/data/final_render_287_y-12.04_z-20.97_pupil_diameter_7.04mm.png,7.04
dataset/1k_images/host_data/training_data/data/final_render_288_y-23.62_z-24.54_pupil_diameter_5.01mm.png,5.01
dataset/1k_images/host_data/training_data/data/final_render_289_y-11.76_z-28.11_pupil_diameter_6.10mm.png,6.10
dataset/1k_images/host_data/training_data/data/final_render_28_y11.60_z6.49_pupil_diameter_2.63mm.png,2.63
dataset/1k_images/host_data/training_data/data/final_render_290_y7.70_z-18.19_pupil_diameter_1.41mm.png,1.41
dataset/1k_images/host_data/training_data/data/final_render_291_y5.03_z-4.34_pupil_diameter_6.32mm.png,6.32
dataset/1k_images/host_data/training_data/data/final_render_292_y20.81_z10.17_pupil_diameter_4.02mm.png,4.02
dataset/1k_images/host_data/training_data/data/final_render_293_y28.67_z23.44_pupil_diameter_6.59mm.png,6.59
dataset/1k_images/host_data/training_data/data/final_render_294_y-11.76_z-8.10_pupil_diameter_3.00mm.png,3.00
dataset/1k_images/host_data/training_data/data/final_render_295_y17.65_z19.99_pupil_diameter_2.54mm.png,2.54
dataset/1k_images/host_data/training_data/data/final_render_296_y14.32_z23.75_pupil_diameter_7.21mm.png,7.21
dataset/1k_images/host_data/training_data/data/final_render_297_y6.49_z3.73_pupil_diameter_1.53mm.png,1.53
dataset/1k_images/host_data/training_data/data/final_render_298_y2.92_z-2.80_pupil_diameter_7.16mm.png,7.16
dataset/1k_images/host_data/training_data/data/final_render_299_y26.74_z16.43_pupil_diameter_2.47mm.png,2.47
dataset/1k_images/host_data/training_data/data/final_render_29_y-7.43_z22.02_pupil_diameter_1.70mm.png,1.70
dataset/1k_images/host_data/training_data/data/final_render_2_y1.81_z-6.89_pupil_diameter_3.27mm.png,3.27
dataset/1k_images/host_data/training_data/data/final_render_300_y-15.25_z27.82_pupil_diameter_3.53mm.png,3.53
dataset/1k_images/host_data/training_data/data/final_render_301_y23.39_z12.05_pupil_diameter_4.30mm.png,4.30
dataset/1k_images/host_data/training_data/data/final_render_302_y-6.22_z28.12_pupil_diameter_3.92mm.png,3.92
dataset/1k_images/host_data/training_data/data/final_render_303_y-0.40_z15.76_pupil_diameter_3.97mm.png,3.97
dataset/1k_images/host_data/training_data/data/final_render_304_y-29.05_z-5.45_pupil_diameter_1.90mm.png,1.90
dataset/1k_images/host_data/training_data/data/final_render_305_y-16.19_z23.24_pupil_diameter_5.91mm.png,5.91
dataset/1k_images/host_data/training_data/data/final_render_306_y27.40_z29.88_pupil_diameter_7.67mm.png,7.67
dataset/1k_images/host_data/training_data/data/final_render_307_y28.05_z-5.44_pupil_diameter_5.01mm.png,5.01
dataset/1k_images/host_data/training_data/data/final_render_308_y-5.31_z-23.29_pupil_diameter_6.15mm.png,6.15
dataset/1k_images/host_data/training_data/data/final_render_309_y22.35_z29.44_pupil_diameter_1.70mm.png,1.70
dataset/1k_images/host_data/training_data/data/final_render_30_y18.15_z-29.54_pupil_diameter_3.23mm.png,3.23
dataset/1k_images/host_data/training_data/data/final_render_310_y-9.53_z19.96_pupil_diameter_3.49mm.png,3.49
dataset/1k_images/host_data/training_data/data/final_render_311_y8.45_z-26.41_pupil_diameter_2.16mm.png,2.16
dataset/1k_images/host_data/training_data/data/final_render_312_y22.75_z28.48_pupil_diameter_1.16mm.png,1.16
dataset/1k_images/host_data/training_data/data/final_render_313_y-5.93_z20.77_pupil_diameter_3.22mm.png,3.22
dataset/1k_images/host_data/training_data/data/final_render_314_y0.38_z-0.46_pupil_diameter_4.28mm.png,4.28
dataset/1k_images/host_data/training_data/data/final_render_315_y28.87_z10.94_pupil_diameter_3.33mm.png,3.33
dataset/1k_images/host_data/training_data/data/final_render_316_y-21.95_z-4.31_pupil_diameter_6.90mm.png,6.90
dataset/1k_images/host_data/training_data/data/final_render_317_y22.66_z-16.96_pupil_diameter_7.13mm.png,7.13
dataset/1k_images/host_data/training_data/data/final_render_318_y-15.68_z27.86_pupil_diameter_4.25mm.png,4.25
dataset/1k_images/host_data/training_data/data/final_render_319_y-18.02_z13.78_pupil_diameter_6.47mm.png,6.47
dataset/1k_images/host_data/training_data/data/final_render_31_y0.39_z6.69_pupil_diameter_5.58mm.png,5.58
dataset/1k_images/host_data/training_data/data/final_render_320_y29.49_z-12.25_pupil_diameter_6.99mm.png,6.99
dataset/1k_images/host_data/training_data/data/final_render_321_y-8.23_z9.61_pupil_diameter_4.80mm.png,4.80
dataset/1k_images/host_data/training_data/data/final_render_322_y24.05_z-2.80_pupil_diameter_7.89mm.png,7.89
dataset/1k_images/host_data/training_data/data/final_render_323_y3.29_z29.32_pupil_diameter_2.08mm.png,2.08
